datasetID,handle,site,long,lat,state,pi,pre,settlement,notes
1134,HUGLAKE,Hug Lake,-90.933333,47.958333,minnesota,"Swain, Albert M.",,,
1138,HUSTLER,Hustler Lake,-92.158333,48.233333,minnesota,"Shane, Linda C. K.",,,
1151,IOLABOG,Iola Bog,-89.116944,44.5,wisconsin,"Maher, Louis J., Jr.",,,
1153,IRVIN,Irvin Lake,-93.643611,47.135556,minnesota,"Cushing, Edward J.",,,
13047,IRWINSMT,Irwin Smith Bog,-83.64,45.035,michigan:south,"Jackson, Steven T.",,,
3138,JACOBSN2,Jacobson Lake,-92.716944,46.416944,minnesota,"Watts, William A.",,,
1394,JONESMN,Jones Lake,-93.98821,45.43037,minnesota,"McAndrews, John H.",,,
1446,KEGAN,Kegan Lake,-93.11932,44.76042,minnesota,"McAndrews, John H.",,,
1447,KELLHOL1,Kellys Hollow,-90.35,45.3,wisconsin,"Heide, Kathleen M.",,,
3452,KELLHOL2,Kellys Hollow,-90.35,45.3,wisconsin,"Heide, Kathleen M.",,,
1448,KELLNERS,Kellners Lake,-87.848056,44.238056,wisconsin,"Maher, Louis J., Jr.",,,
13032,KIMBLE,Kimble Pond,-93.842,44.2201,minnesota,"Umbanhowar, Charles E., Jr.",,,
1520,KIRCHNR1,Kirchner Marsh,-93.1249,44.7724,minnesota,"Wright, Herbert E., Jr.",,,
3455,KIRCHNR2,Kirchner Marsh,-93.1249,44.7724,minnesota,"Wright, Herbert E., Jr.",,,
1524,KITCHNER,Kitchner Lake,-87.455,45.666667,michigan:north,"Davis, Margaret B.",,,
1548,KOTIRANT,Kotiranta Lake,-92.62,46.72,minnesota,"Wright, Herbert E., Jr.",,,
1552,KRYZ,Kryzewinski Lake,-92.870278,46.353333,minnesota,"McAndrews, John H.",,,
1581,LAKE27,Lake 27,-84.783333,45.066667,michigan:south,"Bernabo, J. Christopher",,,
1584,LAKEANN,Lake Ann,-93.6875,45.425,minnesota,"McAndrews, John H.",,,
3468,LAKEANNF,Lake Ann,-93.6875,45.425,minnesota,"Shane, Linda C. K.",,,
1588,LAKECARL,Lake Carlson,-93.1617,44.8009,minnesota,"Wright, Herbert E., Jr.",,,
3473,LAKEMARY,Lake Mary,-89.9,46.25,wisconsin,"Webb, Thompson III",,,
12004,LASTLAKE,Last Lake,-95.2438,45.4519,minnesota,"Alwin, Baird C.",,,
1629,LEWISLK,Lewis Lake,-93.364167,45.749444,minnesota,"McAndrews, John H.",,,
1633,LILYLAKE,Lily Lake (US:Minnesota),-92.825,45.05,minnesota,"Eyster-Smith, Nancy M.",,,
1639,LITTBASS,Little Bass Lake,-93.6,47.283333,minnesota,"Swain, Patricia C.",,,
1643,LITTLPIN,Little Pine Lake,-91.483333,45.283333,wisconsin,"Gajewski, Konrad J.",,,
3482,LKCLDSH,Lake of the Clouds (US:Minnesota),-91.116667,48,minnesota,"Craig, Alan J.",,,
3483,LKCLDSSW,Lake of the Clouds (US:Minnesota),-91.116667,48,minnesota,"Swain, Albert M.",,,
1665,LOSTLAKE,Lost Lake (US:Michigan),-87.97,46.72,michigan:north,"Brubaker, Linda B.",,,
12001,LTDOLLAR,Little Dollar Lake,-85.3096,46.1872,michigan:north,"Futyma, Richard P.",,,
12014,LYBECK,Lybeck Lake,-95.717,45.679,minnesota,"Cushing, Edward J.",,,
1685,MABEL,Lake Mabel,-93.62008,44.3645,minnesota,"McAndrews, John H.",,,
1708,MARTINPD,Martin Pond,-94.933333,47.183333,minnesota,"McAndrews, John H.",,,
1720,MCCRANEY,McCraney Pond,-95.698056,47.178056,minnesota,"McAndrews, John H.",,,
1725,MCNRNY2A,McNearny Lake,-84.958333,46.427222,michigan:north,"Shane, Linda C. K.",,,
3485,MCNRNY3A,McNearny Lake,-84.958333,46.427222,michigan:north,"Shane, Linda C. K.",,,
3486,MCNRNY4A,McNearny Lake,-84.958333,46.427222,michigan:north,"Shane, Linda C. K.",,,
1735,MENDOTAC,Lake Mendota,-89.416667,43.1,wisconsin,"Winkler, Marjorie Green",,,
3488,MENDOTAD,Lake Mendota,-89.416667,43.1,wisconsin,"Winkler, Marjorie Green",,,
1757,MINNIEN,Lake Minnie,-95.01,47.24,minnesota,"McAndrews, John H.",,,
3492,MINNIEO,Lake Minnie,-95.01,47.24,minnesota,"McAndrews, John H.",,,
12006,MONSON,Monson Lake,-95.2897,45.33,minnesota,"Cushing, Edward J.",,,
12013,MUDDLMN,Mud Lake,-95.4657,45.8607,minnesota,"Cushing, Edward J.",,,
1777,MUDLKMN1,Mud Lake,-93.83519,44.23136,minnesota,"McAndrews, John H.",,,
1778,MUDLKMN2,Mud Lake (US:Minnesota:Hubbard),-94.75,46.866667,minnesota,"Almendinger, John C.",,,
1781,MURPHY,Murphy Lake,-93.34521,44.7142,minnesota,"McAndrews, John H.",,,
1786,MYRTLE,Myrtle Lake,-93.39207,47.98645,minnesota,"Janssen, C. Roel",,,
1793,NELSLK,Nels Lake,-91.9,48.033333,minnesota,"Shane, Linda C. K.",,,
13056,OAKGLEN,Oak Glen Lake,-93.0876,43.9343,minnesota,"Cushing, Edward J.",,,
10971,OCHEDA,Ocheda Lake,-95.64,43.59,minnesota,"Cushing, Edward J.",,,
10977,OLSONMN,Olson Lake,-93.6619,46.5137,minnesota,"Cushing, Edward J.",,,
1830,ONAMIA,Lake Onamia,-93.68,46.068333,minnesota,"McAndrews, John H.",,,
1831,ONDRISPD,Ondris Pond,-94.4,46.35,minnesota,"Jacobson, George L., Jr.",,,
1840,OTTOMLK,Otto Mielke Lake,-89.625,45.933333,wisconsin,"Shane, Linda C. K.",,,
1884,PENNINGT,Pennington Lake,-93.273056,45.780556,minnesota,"McAndrews, John H.",,,
12009,PERCHMN,Perch Lake,-95.4724,46.1959,minnesota,"Cushing, Edward J.",,,
1891,PETERSL,Peterson Slough,-95.316667,46.966667,minnesota,"Almendinger, John C.",,,
3541,PGONIABG,Pogonia Bog Pond,-93.63376,45.03619,minnesota,"Cushing, Edward J.",,,
1955,PLEASAMN,Pleasant Lake,-93.57315,44.61154,minnesota,"McAndrews, John H.",,,
3558,POGONIA,Pogonia Bog Pond,-93.63376,45.03619,minnesota,"Cushing, Edward J.",,,
1966,PORTAGE,Portage Lake,-94.113333,47.081389,minnesota,"McAndrews, John H.",,,
12011,RACHEL,Lake Rachel,-95.5616,45.8078,minnesota,"Cushing, Edward J.",,,
2011,RADTKE,Radtke Lake,-88.1,43.4,wisconsin,"Webb, Sara L.",,,
2051,REICHOW,Reichow,-95.775,47.187778,minnesota,"McAndrews, John H.",,,
2053,REIDEL,Reidel Lake,-95.284167,46.211944,minnesota,"Almquist-Jacobson, Heather",,,
2062,RHOLL,Rholl Lake,-96.166667,47.6,minnesota,"McAndrews, John H.",,,
