id sitename lat long state altitude model ages ASH BEECH BIRCH ELM HEMLOCK MAPLE OAK OTHER.CONIFER OTHER.HARDWOOD PINE SPRUCE TAMARACK
29 LakeAllie 44.8036 -94.5579 minnesota 328 NAPD 346 7 0 14 13 0 0 65 1 29 32 1 0
29 LakeAllie 44.8036 -94.5579 minnesota 328 NAPD 379 4 0 21 23 0 3 70 0 37 35 1 0
29 LakeAllie 44.8036 -94.5579 minnesota 328 NAPD 412 4 0 12 9 0 6 78 0 24 38 2 0
29 LakeAllie 44.8036 -94.5579 minnesota 328 NAPD 445 12 0 12 18 1 0 73 1 34 42 0 0
29 LakeAllie 44.8036 -94.5579 minnesota 328 NAPD 478 7 0 17 12 0 2 57 0 28 40 2 0
14631 AmberLake 43.60715 -94.473645 minnesota 351 PalEON 85 0 0 2 4 0 2 32 0 7 0 0 0
14631 AmberLake 43.60715 -94.473645 minnesota 351 PalEON 95 0 0 3 1 0 0 38 0 4 0 0 0
14631 AmberLake 43.60715 -94.473645 minnesota 351 PalEON 106 0 0 4 5 0 1 46 0 9 0 0 0
14631 AmberLake 43.60715 -94.473645 minnesota 351 PalEON 125 0 0 2 11 0 0 62 0 4 0 0 0
14631 AmberLake 43.60715 -94.473645 minnesota 351 PalEON 183 0 0 1 4 0 0 57 0 7 0 0 0
14631 AmberLake 43.60715 -94.473645 minnesota 351 PalEON 223 0 0 3 5 0 0 59 0 4 0 0 0
14631 AmberLake 43.60715 -94.473645 minnesota 351 PalEON 317 0 0 5 12 0 0 51 0 4 0 0 0
14631 AmberLake 43.60715 -94.473645 minnesota 351 PalEON 423 0 0 3 3 0 1 67 0 6 0 0 0
14631 AmberLake 43.60715 -94.473645 minnesota 351 PalEON 476 0 0 2 3 0 1 41 0 10 0 0 0
14631 AmberLake 43.60715 -94.473645 minnesota 351 PalEON 530 0 0 1 8 0 0 42 0 13 0 0 0
14631 AmberLake 43.60715 -94.473645 minnesota 351 PalEON 636 0 0 4 8 0 0 44 0 18 0 0 0
14631 AmberLake 43.60715 -94.473645 minnesota 351 PalEON 743 0 0 3 3 0 0 31 0 9 0 0 0
14631 AmberLake 43.60715 -94.473645 minnesota 351 PalEON 852 0 0 2 4 0 0 39 0 6 0 0 0
14631 AmberLake 43.60715 -94.473645 minnesota 351 PalEON 926 0 0 2 2 0 0 37 0 8 0 0 0
14631 AmberLake 43.60715 -94.473645 minnesota 351 PalEON 965 0 0 3 5 0 0 34 0 8 0 0 0
205 AndrusLake 46.7 -85.040278 michigan:north 190 NAPD -33 0 1 22 2 2 2 6 4 9 167 13 0
205 AndrusLake 46.7 -85.040278 michigan:north 190 NAPD -22 1 0 33 2 6 4 11 3 22 147 11 0
205 AndrusLake 46.7 -85.040278 michigan:north 190 NAPD -5 2 3 48 5 4 4 11 5 25 177 27 0
205 AndrusLake 46.7 -85.040278 michigan:north 190 NAPD 28 5 2 44 2 4 2 10 4 28 108 11 1
205 AndrusLake 46.7 -85.040278 michigan:north 190 NAPD 32 2 4 41 5 6 5 11 4 34 94 18 1
205 AndrusLake 46.7 -85.040278 michigan:north 190 NAPD 35 2 4 54 3 3 8 18 0 20 119 20 0
205 AndrusLake 46.7 -85.040278 michigan:north 190 NAPD 38 2 5 50 0 5 3 15 1 19 101 7 1
205 AndrusLake 46.7 -85.040278 michigan:north 190 NAPD 40 0 3 53 3 4 7 17 1 23 109 17 1
205 AndrusLake 46.7 -85.040278 michigan:north 190 NAPD 51 2 3 41 4 13 5 14 1 18 130 12 2
205 AndrusLake 46.7 -85.040278 michigan:north 190 NAPD 54 3 2 29 7 8 3 13 1 36 139 16 1
205 AndrusLake 46.7 -85.040278 michigan:north 190 NAPD 58 1 3 59 1 7 6 12 1 24 122 17 2
205 AndrusLake 46.7 -85.040278 michigan:north 190 NAPD 84 1 7 41 1 9 4 11 1 27 106 22 1
205 AndrusLake 46.7 -85.040278 michigan:north 190 NAPD 141 6 4 59 1 7 6 9 3 29 162 14 4
223 BadMedicineLake 47.123935 -95.397205 minnesota 487 NAPD -9 3 0 53 3 0 4 35 5 48 136 1 0
223 BadMedicineLake 47.123935 -95.397205 minnesota 487 NAPD 42 1 0 27 2 0 0 21 1 46 174 1 0
223 BadMedicineLake 47.123935 -95.397205 minnesota 487 NAPD 98 1 0 41 5 0 2 18 1 34 204 1 0
223 BadMedicineLake 47.123935 -95.397205 minnesota 487 NAPD 155 3 0 47 6 0 1 27 0 34 161 3 5
223 BadMedicineLake 47.123935 -95.397205 minnesota 487 NAPD 223 1 0 72 2 0 1 23 1 55 140 3 1
14270 BassLake 45.19932 -94.878745 minnesota 361 PalEON 77 0 0 5 10 0 0 50 0 11 0 0 0
14270 BassLake 45.19932 -94.878745 minnesota 361 PalEON 98 0 0 8 3 0 2 64 0 23 0 0 0
14270 BassLake 45.19932 -94.878745 minnesota 361 PalEON 145 0 0 9 15 0 0 64 0 18 0 0 0
14270 BassLake 45.19932 -94.878745 minnesota 361 PalEON 259 0 0 6 11 0 0 72 0 26 0 0 0
14270 BassLake 45.19932 -94.878745 minnesota 361 PalEON 357 0 0 11 3 0 2 60 0 20 0 0 0
14270 BassLake 45.19932 -94.878745 minnesota 361 PalEON 396 0 0 8 5 0 1 73 0 21 0 0 0
14270 BassLake 45.19932 -94.878745 minnesota 361 PalEON 449 0 0 10 2 0 0 79 0 7 0 0 0
14270 BassLake 45.19932 -94.878745 minnesota 361 PalEON 524 0 0 7 2 0 1 55 0 8 0 0 0
14270 BassLake 45.19932 -94.878745 minnesota 361 PalEON 599 0 0 5 3 0 1 50 0 9 0 0 0
14270 BassLake 45.19932 -94.878745 minnesota 361 PalEON 799 0 0 11 5 0 1 78 0 6 0 0 0
14270 BassLake 45.19932 -94.878745 minnesota 361 PalEON 899 0 0 3 3 0 0 70 0 8 0 0 0
14270 BassLake 45.19932 -94.878745 minnesota 361 PalEON 996 0 0 8 3 0 1 70 0 9 0 0 0
14270 BassLake 45.19932 -94.878745 minnesota 361 PalEON 1173 0 0 8 4 0 1 79 0 11 0 0 0
241 BlackBassLake 46.128056 -93.703889 minnesota 394 NAPD 0 8 0 41 0 0 2 33 1 31 187 10 4
241 BlackBassLake 46.128056 -93.703889 minnesota 394 NAPD 140 5 0 60 7 0 3 38 0 49 167 0 3
241 BlackBassLake 46.128056 -93.703889 minnesota 394 NAPD 294 6 0 33 6 0 0 31 1 17 219 2 3
241 BlackBassLake 46.128056 -93.703889 minnesota 394 NAPD 449 5 0 55 5 1 6 29 0 34 195 0 5
241 BlackBassLake 46.128056 -93.703889 minnesota 394 NAPD 603 7 0 64 1 1 2 35 1 46 228 4 6
241 BlackBassLake 46.128056 -93.703889 minnesota 394 NAPD 758 6 0 44 1 0 0 73 0 64 158 4 4
241 BlackBassLake 46.128056 -93.703889 minnesota 394 NAPD 912 2 0 40 5 0 4 74 0 60 135 2 8
241 BlackBassLake 46.128056 -93.703889 minnesota 394 NAPD 1067 5 0 42 13 3 3 99 2 54 114 1 4
241 BlackBassLake 46.128056 -93.703889 minnesota 394 NAPD 1221 8 0 41 8 0 2 119 2 70 59 0 4
241 BlackBassLake 46.128056 -93.703889 minnesota 394 NAPD 1376 6 0 33 7 0 3 160 1 44 82 1 6
241 BlackBassLake 46.128056 -93.703889 minnesota 394 NAPD 1530 10 0 52 14 0 5 163 0 58 46 1 5
241 BlackBassLake 46.128056 -93.703889 minnesota 394 NAPD 1685 10 0 41 8 0 3 133 0 61 56 0 2
241 BlackBassLake 46.128056 -93.703889 minnesota 394 NAPD 1840 10 0 64 7 1 9 141 1 67 43 1 0
241 BlackBassLake 46.128056 -93.703889 minnesota 394 NAPD 1994 11 0 93 11 0 3 89 1 69 24 2 1
249 BeckmanLake 45.425 -93.183333 minnesota 278 NAPD 0 5 0 34 9 2 0 101 0 36 81 2 1
249 BeckmanLake 45.425 -93.183333 minnesota 278 NAPD 27 4 0 38 5 0 2 82 0 36 69 3 0
249 BeckmanLake 45.425 -93.183333 minnesota 278 NAPD 54 1 0 41 5 1 0 114 1 48 82 5 3
249 BeckmanLake 45.425 -93.183333 minnesota 278 NAPD 81 0 0 27 4 0 3 74 0 22 53 2 4
249 BeckmanLake 45.425 -93.183333 minnesota 278 NAPD 304 3 0 26 5 1 1 98 0 22 55 2 2
249 BeckmanLake 45.425 -93.183333 minnesota 278 NAPD 597 2 0 16 4 0 2 101 0 35 38 1 2
249 BeckmanLake 45.425 -93.183333 minnesota 278 NAPD 772 3 0 17 3 2 2 82 0 30 63 2 2
249 BeckmanLake 45.425 -93.183333 minnesota 278 NAPD 1006 2 0 26 3 1 2 101 1 22 66 3 1
249 BeckmanLake 45.425 -93.183333 minnesota 278 NAPD 1707 4 0 17 5 0 1 113 0 26 54 0 0
249 BeckmanLake 45.425 -93.183333 minnesota 278 NAPD 2292 4 0 24 4 0 1 139 0 28 67 7 1
249 BeckmanLake 45.425 -93.183333 minnesota 278 NAPD 2876 3 0 17 4 0 1 95 0 28 60 1 1
249 BeckmanLake 45.425 -93.183333 minnesota 278 NAPD 3460 5 0 23 5 0 1 76 0 40 60 6 1
249 BeckmanLake 45.425 -93.183333 minnesota 278 NAPD 4045 6 0 31 6 0 4 101 0 39 61 8 1
249 BeckmanLake 45.425 -93.183333 minnesota 278 NAPD 4545 5 0 20 10 0 5 116 0 47 56 7 1
249 BeckmanLake 45.425 -93.183333 minnesota 278 NAPD 5411 0 0 5 2 0 0 30 0 21 21 0 0
249 BeckmanLake 45.425 -93.183333 minnesota 278 NAPD 6494 2 0 11 17 0 2 45 0 37 41 0 0
249 BeckmanLake 45.425 -93.183333 minnesota 278 NAPD 7576 0 0 6 12 0 2 36 0 39 41 0 0
249 BeckmanLake 45.425 -93.183333 minnesota 278 NAPD 8659 4 0 8 24 0 1 29 0 18 64 4 0
249 BeckmanLake 45.425 -93.183333 minnesota 278 NAPD 9888 14 0 58 34 0 1 20 5 31 105 29 1
249 BeckmanLake 45.425 -93.183333 minnesota 278 NAPD 10412 0 0 0 0 0 0 0 0 0 1 169 0
3062 BeckmanLake 45.425 -93.183333 minnesota 278 NAPD -29 2 0 14 6 0 0 63 0 15 21 8 2
3062 BeckmanLake 45.425 -93.183333 minnesota 278 NAPD -10 0 0 20 3 0 3 23 0 16 43 0 1
3062 BeckmanLake 45.425 -93.183333 minnesota 278 NAPD 9 2 0 19 6 0 2 49 0 41 20 3 0
3062 BeckmanLake 45.425 -93.183333 minnesota 278 NAPD 28 2 0 31 12 0 6 109 0 45 20 2 8
3062 BeckmanLake 45.425 -93.183333 minnesota 278 NAPD 47 0 0 18 12 0 5 92 0 34 12 3 1
3062 BeckmanLake 45.425 -93.183333 minnesota 278 NAPD 66 8 0 22 12 0 2 105 0 65 17 0 2
3062 BeckmanLake 45.425 -93.183333 minnesota 278 NAPD 86 0 0 15 8 0 3 66 0 16 6 5 4
3062 BeckmanLake 45.425 -93.183333 minnesota 278 NAPD 104 10 0 36 23 1 3 109 0 47 95 11 12
3062 BeckmanLake 45.425 -93.183333 minnesota 278 NAPD 124 9 0 71 18 1 6 162 0 107 181 4 7
3062 BeckmanLake 45.425 -93.183333 minnesota 278 NAPD 143 5 0 32 9 0 2 71 0 48 103 1 2
3062 BeckmanLake 45.425 -93.183333 minnesota 278 NAPD 162 5 0 37 7 1 0 33 0 38 53 3 2
3062 BeckmanLake 45.425 -93.183333 minnesota 278 NAPD 200 0 0 22 4 0 3 45 1 27 58 5 2
3062 BeckmanLake 45.425 -93.183333 minnesota 278 NAPD 238 2 0 19 1 0 0 69 0 32 73 11 4
3062 BeckmanLake 45.425 -93.183333 minnesota 278 NAPD 261 8 0 27 4 0 0 134 0 31 124 9 7
3062 BeckmanLake 45.425 -93.183333 minnesota 278 NAPD 276 2 0 10 9 0 5 51 0 13 60 5 4
3062 BeckmanLake 45.425 -93.183333 minnesota 278 NAPD 295 2 0 20 3 0 1 135 1 38 139 3 6
3062 BeckmanLake 45.425 -93.183333 minnesota 278 NAPD 314 7 0 25 0 0 0 77 0 15 60 0 10
3062 BeckmanLake 45.425 -93.183333 minnesota 278 NAPD 337 8 0 21 3 0 2 84 0 22 95 5 1
3062 BeckmanLake 45.425 -93.183333 minnesota 278 NAPD 352 4 0 21 5 2 1 67 0 32 55 5 2
3062 BeckmanLake 45.425 -93.183333 minnesota 278 NAPD 391 2 0 16 3 1 1 104 0 22 66 0 0
3062 BeckmanLake 45.425 -93.183333 minnesota 278 NAPD 429 1 0 23 6 0 1 96 0 14 47 0 1
272 BigJohnPond 47.558333 -94.966667 minnesota 421 NAPD -31 1 0 5 0 0 1 3 1 8 123 3.5 1
272 BigJohnPond 47.558333 -94.966667 minnesota 421 NAPD 56 0 0 12 2 0 0 5 4.5 14 155 8 0
272 BigJohnPond 47.558333 -94.966667 minnesota 421 NAPD 139 1 0 11 3 0 1 8 0 13 192.5 7 2
272 BigJohnPond 47.558333 -94.966667 minnesota 421 NAPD 695 0 0 10 1 0 0 3 1 15 164.5 6 1
272 BigJohnPond 47.558333 -94.966667 minnesota 421 NAPD 973 2 0 19 2 0 0 6 3.5 11 235 9.5 1
272 BigJohnPond 47.558333 -94.966667 minnesota 421 NAPD 1394 0 0 15 0 0 1 11 0.5 15 143.5 12.5 4
272 BigJohnPond 47.558333 -94.966667 minnesota 421 NAPD 2131 6 0 26 1 0 0 23 1.5 25 151.5 7.5 1
272 BigJohnPond 47.558333 -94.966667 minnesota 421 NAPD 2573 7 0 24 1 0 0 37 2 21 72.5 6 2
272 BigJohnPond 47.558333 -94.966667 minnesota 421 NAPD 2868 6 0 36 4 0 0 40 0 31 100.5 3 1
272 BigJohnPond 47.558333 -94.966667 minnesota 421 NAPD 3163 2 0 24 1 0 0 23 1.5 23 53.5 2.5 0
272 BigJohnPond 47.558333 -94.966667 minnesota 421 NAPD 3752 3 0 10 4 0 0 10 0 11 41.5 4 1
272 BigJohnPond 47.558333 -94.966667 minnesota 421 NAPD 5374 2 0 7 1 0 0 28 0.5 13 41 2.5 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson -24 4 0 38 2 0 0 27 0 21 101 5 1
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson -13 2 0 27 3 0 0 26 0 19 58 0 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 4 2 0 32 2 0 1 45 0 27 88 3 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 15 2 0 46 0 0 0 37 0 18 105 0 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 31 4 0 34 3 0 0 27 0 27 94 1 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 42 0 0 43 2 0 0 31 0 31 101 1 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 59 1 0 47 1 0 2 20 0 37 148 3 1
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 70 0 0 22 2 0 1 15 0 33 113 0 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 86 3 0 28 3 1 0 18 0 31 107 1 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 97 2 0 95 7 0 0 80 0 60 208 2 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 167 3 0 44 5 0 1 24 0 21 83 1 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 221 2 0 64 2 0 1 32 0 25 89 0 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 302 0 0 47 3 0 0 48 0 20 103 2 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 356 4 0 41 1 0 2 39 0 21 92 2 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 383 4 0 69 6 0 1 100 0 57 198 3 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 410 4 0 73 5 0 2 100 0 62 176 4 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 437 2 0 32 5 0 0 52 0 27 92 1 1
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 490 0 0 28 0 0 1 37 0 18 78 0 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 571 1 0 25 6 0 0 41 0 16 87 1 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 625 1 0 24 5 0 1 45 0 29 93 1 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 706 6 0 22 3 0 0 42 0 16 60 1 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 760 2 0 31 7 0 1 136 0 66 161 2 1
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 841 1 0 21 4 1 0 58 0 26 70 0 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 894 4 0 32 3 0 1 43 0 34 60 2 1
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 975 6 0 33 5 0 0 56 0 32 82 4 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 1029 3 0 21 4 0 1 63 0 29 67 1 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 1110 5 0 20 6 0 0 66 0 27 38 2 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 1201 3 0 29 4 0 3 53 0 34 46 1 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 1293 2 0 29 4 0 3 56 0 24 39 0 1
