id sitename lat long state altitude type age age_old bacon_depth ASH BEECH BIRCH ELM HEMLOCK MAPLE OAK OTHER.CONIFER OTHER.HARDWOOD PINE SPRUCE TAMARACK
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 147.559387095882 201 34.5 5 0 182 12 20 6 47 5 25 284 5 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 214.426909117547 260 37.5 5 0 113 13 16 8 41 5 39 355 3 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 282.154493576026 320 40.5 5 0 105 6 31 12 25 5 31 368 9 1
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 360.407524446035 390 43.5 2 0 157 13 10 7 29 1 32 247 4 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 437.604940243689 465 46.5 9 0 164 18 1 8 38 0 34 239 5 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 513.746740968988 548 49.5 7 0 117 8 5 6 26 2 64 269 9 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 607.100340666688 635 52.5 1 1 103 5 18 4 32 2 49 315 1 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 702.840574790423 724 55.5 5 0 97 11 14 4 26 5 82 301 5 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 793.302182071932 812 58.5 4 0 92 3 12 3 23 3 49 298 5 1
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 886.64646737506 903 61.5 6 0 161 7 25 8 43 5 44 316 3 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 982.873430699807 997 64.5 4 1 85 3 10 5 31 1 67 389 8 2
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 1072.48159391929 1088 67.5 2 0 91 2 10 6 36 4 31 295 3 1
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 1160.88753319505 1178 70.5 1 0 191 9 15 4 20 4 41 240 7 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 1249.90115285743 1268 73.5 3 0 72 7 6 2 28 8 53 381 4 1
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 1338.78178546377 1355 76.5 8 0 82 8 5 5 36 3 67 284 3 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 1427.5294310141 1440 79.5 3 0 95 9 4 6 30 3 46 247 6 1
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 1520.67230309462 1521 82.5 1 0 130 13 12 12 16 6 33 331 3 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 1661.60115434559 1657 88.5 2 0 99 8 6 6 32 1 49 299 2 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 1769.82484768478 1763 94.5 10 1 88 7 5 4 31 2 43 300 3 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 1872.416887926 1870 100.5 7 0 148 9 6 12 52 2 49 237 4 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 1977.79435412213 1973 106.5 9 1 152 7 2 7 51 2 40 331 8 1
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 2030.19347541266 2027 109.5 7 0 83 7 3 5 25 4 59 295 3 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 2081.98809962767 2080 112.5 3 0 44 5 0 2 39 3 60 366 1 0
29 LakeAllie 44.8036 -94.5579 minnesota 328 Bacon -12.3594454213933 -12 1 15 0 4 29 0 7 68 1 25 18 1 0
29 LakeAllie 44.8036 -94.5579 minnesota 328 Bacon 10.6895719180029 18 10 13 0 5 21 0 3 58 0 35 33 1 0
29 LakeAllie 44.8036 -94.5579 minnesota 328 Bacon 37.1461987249796 51 20 17 0 6 16 0 4 56 0 35 21 0 0
29 LakeAllie 44.8036 -94.5579 minnesota 328 Bacon 62.4215797387903 84 30 10 0 7 12 0 2 51 0 36 21 0 0
29 LakeAllie 44.8036 -94.5579 minnesota 328 Bacon 86.5741334008772 116 40 5 0 14 15 0 2 58 0 40 27 1 0
29 LakeAllie 44.8036 -94.5579 minnesota 328 Bacon 112.41112198972 149 50 3 0 7 12 1 4 89 0 36 51 4 0
29 LakeAllie 44.8036 -94.5579 minnesota 328 Bacon 136.074683944051 182 60 7 0 9 13 0 1 74 0 28 44 2 0
29 LakeAllie 44.8036 -94.5579 minnesota 328 Bacon 159.738245898383 215 70 9 0 13 8 0 0 45 0 39 40 3 1
29 LakeAllie 44.8036 -94.5579 minnesota 328 Bacon 183.401807852715 248 80 4 0 11 5 1 3 61 0 37 44 2 1
29 LakeAllie 44.8036 -94.5579 minnesota 328 Bacon 207.065369807046 281 90 2 0 11 9 0 2 72 0 31 55 1 0
29 LakeAllie 44.8036 -94.5579 minnesota 328 Bacon 230.728931761378 314 100 5 0 9 12 0 3 60 0 26 36 2 0
29 LakeAllie 44.8036 -94.5579 minnesota 328 Bacon 254.39249371571 346 110 7 0 14 13 0 0 65 1 29 32 1 0
29 LakeAllie 44.8036 -94.5579 minnesota 328 Bacon 278.056055670041 379 120 4 0 21 23 0 3 70 0 37 35 1 0
29 LakeAllie 44.8036 -94.5579 minnesota 328 Bacon 301.719617624373 412 130 4 0 12 9 0 6 78 0 24 38 2 0
29 LakeAllie 44.8036 -94.5579 minnesota 328 Bacon 325.383179578705 445 140 12 0 12 18 1 0 73 1 34 42 0 0
205 AndrusLake 46.7 -85.040278 michigan:north 190 Bacon -31.8750374399688 -33 0.25 0 1 22 2 2 2 6 4 9 167 13 0
205 AndrusLake 46.7 -85.040278 michigan:north 190 Bacon -22.3805025200104 -22 3.25 1 0 33 2 6 4 11 3 22 147 11 0
205 AndrusLake 46.7 -85.040278 michigan:north 190 Bacon -6.17958093295218 -5 6.25 2 3 48 5 4 4 11 5 25 177 27 0
205 AndrusLake 46.7 -85.040278 michigan:north 190 Bacon 27.5187928161816 28 10.25 5 2 44 2 4 2 10 4 28 108 11 1
205 AndrusLake 46.7 -85.040278 michigan:north 190 Bacon 30.9408830119543 32 10.75 2 4 41 5 6 5 11 4 34 94 18 1
205 AndrusLake 46.7 -85.040278 michigan:north 190 Bacon 34.362973207727 35 11.25 2 4 54 3 3 8 18 0 20 119 20 0
205 AndrusLake 46.7 -85.040278 michigan:north 190 Bacon 37.7850634034997 38 11.75 2 5 50 0 5 3 15 1 19 101 7 1
205 AndrusLake 46.7 -85.040278 michigan:north 190 Bacon 41.2071535992724 40 12.25 0 3 53 3 4 7 17 1 23 109 17 1
205 AndrusLake 46.7 -85.040278 michigan:north 190 Bacon 60.6062350551802 51 15.25 2 3 41 4 13 5 14 1 18 130 12 2
205 AndrusLake 46.7 -85.040278 michigan:north 190 Bacon 64.0717473301282 54 16.75 3 2 29 7 8 3 13 1 36 139 16 1
205 AndrusLake 46.7 -85.040278 michigan:north 190 Bacon 67.5372596050762 58 18.25 1 3 59 1 7 6 12 1 24 122 17 2
205 AndrusLake 46.7 -85.040278 michigan:north 190 Bacon 86.9561748033351 84 25.25 1 7 41 1 9 4 11 1 27 106 22 1
205 AndrusLake 46.7 -85.040278 michigan:north 190 Bacon 151.385041289103 141 40.5 6 4 59 1 7 6 9 3 29 162 14 4
223 BadMedicineLake 47.123935 -95.397205 minnesota 487 Bacon -11.6532535573045 -9 1 3 0 53 3 0 4 35 5 48 136 1 0
223 BadMedicineLake 47.123935 -95.397205 minnesota 487 Bacon 17.9572508065798 42 10 1 0 27 2 0 0 21 1 46 174 1 0
223 BadMedicineLake 47.123935 -95.397205 minnesota 487 Bacon 50.9779744826658 98 20 1 0 41 5 0 2 18 1 34 204 1 0
223 BadMedicineLake 47.123935 -95.397205 minnesota 487 Bacon 82.4280893652922 155 30 3 0 47 6 0 1 27 0 34 161 3 5
223 BadMedicineLake 47.123935 -95.397205 minnesota 487 Bacon 120.168227224444 223 42 1 0 72 2 0 1 23 1 55 140 3 1
241 BlackBassLake 46.128056 -93.703889 minnesota 394 Bacon -11.2056031269239 0 1 8 0 41 0 0 2 33 1 31 187 10 4
241 BlackBassLake 46.128056 -93.703889 minnesota 394 Bacon 23.2736527652174 140 10 5 0 60 7 0 3 38 0 49 167 0 3
241 BlackBassLake 46.128056 -93.703889 minnesota 394 Bacon 61.0410637059361 294 20 6 0 33 6 0 0 31 1 17 219 2 3
241 BlackBassLake 46.128056 -93.703889 minnesota 394 Bacon 98.8084746466548 449 30 5 0 55 5 1 6 29 0 34 195 0 5
241 BlackBassLake 46.128056 -93.703889 minnesota 394 Bacon 136.575885587374 603 40 7 0 64 1 1 2 35 1 46 228 4 6
241 BlackBassLake 46.128056 -93.703889 minnesota 394 Bacon 174.343296528092 758 50 6 0 44 1 0 0 73 0 64 158 4 4
241 BlackBassLake 46.128056 -93.703889 minnesota 394 Bacon 212.110707468811 912 60 2 0 40 5 0 4 74 0 60 135 2 8
241 BlackBassLake 46.128056 -93.703889 minnesota 394 Bacon 249.87811840953 1067 70 5 0 42 13 3 3 99 2 54 114 1 4
241 BlackBassLake 46.128056 -93.703889 minnesota 394 Bacon 287.645529350248 1221 80 8 0 41 8 0 2 119 2 70 59 0 4
241 BlackBassLake 46.128056 -93.703889 minnesota 394 Bacon 325.412940290967 1376 90 6 0 33 7 0 3 160 1 44 82 1 6
241 BlackBassLake 46.128056 -93.703889 minnesota 394 Bacon 363.180351231686 1530 100 10 0 52 14 0 5 163 0 58 46 1 5
249 BeckmanLake 45.425 -93.183333 minnesota 278 Bacon 31.1122231377611 27 63 4 0 38 5 0 2 82 0 36 69 3 0
249 BeckmanLake 45.425 -93.183333 minnesota 278 Bacon 60.7027744422977 54 73 1 0 41 5 1 0 114 1 48 82 5 3
249 BeckmanLake 45.425 -93.183333 minnesota 278 Bacon 89.127749961956 81 83 0 0 27 4 0 3 74 0 22 53 2 4
249 BeckmanLake 45.425 -93.183333 minnesota 278 Bacon 128.37342952415 304 97 3 0 26 5 1 1 98 0 22 55 2 2
249 BeckmanLake 45.425 -93.183333 minnesota 278 Bacon 156.406057782859 597 107 2 0 16 4 0 2 101 0 35 38 1 2
249 BeckmanLake 45.425 -93.183333 minnesota 278 Bacon 173.225634738085 772 113 3 0 17 3 2 2 82 0 30 63 2 2
249 BeckmanLake 45.425 -93.183333 minnesota 278 Bacon 195.651737345053 1006 121 2 0 26 3 1 2 101 1 22 66 3 1
249 BeckmanLake 45.425 -93.183333 minnesota 278 Bacon 262.930045165956 1707 145 4 0 17 5 0 1 113 0 26 54 0 0
249 BeckmanLake 45.425 -93.183333 minnesota 278 Bacon 318.995301683376 2292 165 4 0 24 4 0 1 139 0 28 67 7 1
3062 BeckmanLake 45.425 -93.183333 minnesota 278 Bacon -12.8249722446916 -10 5 0 0 20 3 0 3 23 0 16 43 0 1
3062 BeckmanLake 45.425 -93.183333 minnesota 278 Bacon 2.94184062034354 9 10 2 0 19 6 0 2 49 0 41 20 3 0
3062 BeckmanLake 45.425 -93.183333 minnesota 278 Bacon 18.8036125146523 28 15 2 0 31 12 0 6 109 0 45 20 2 8
3062 BeckmanLake 45.425 -93.183333 minnesota 278 Bacon 34.1503328241411 47 20 0 0 18 12 0 5 92 0 34 12 3 1
3062 BeckmanLake 45.425 -93.183333 minnesota 278 Bacon 49.9188573929429 66 25 8 0 22 12 0 2 105 0 65 17 0 2
3062 BeckmanLake 45.425 -93.183333 minnesota 278 Bacon 65.4142088043667 86 30 0 0 15 8 0 3 66 0 16 6 5 4
3062 BeckmanLake 45.425 -93.183333 minnesota 278 Bacon 80.5598557788618 104 35 10 0 36 23 1 3 109 0 47 95 11 12
3062 BeckmanLake 45.425 -93.183333 minnesota 278 Bacon 95.2473981968251 124 40 9 0 71 18 1 6 162 0 107 181 4 7
3062 BeckmanLake 45.425 -93.183333 minnesota 278 Bacon 109.934940614788 143 45 5 0 32 9 0 2 71 0 48 103 1 2
3062 BeckmanLake 45.425 -93.183333 minnesota 278 Bacon 124.622483032752 162 50 5 0 37 7 1 0 33 0 38 53 3 2
3062 BeckmanLake 45.425 -93.183333 minnesota 278 Bacon 153.997567868679 200 60 0 0 22 4 0 3 45 1 27 58 5 2
3062 BeckmanLake 45.425 -93.183333 minnesota 278 Bacon 183.372652704605 238 70 2 0 19 1 0 0 69 0 32 73 11 4
3062 BeckmanLake 45.425 -93.183333 minnesota 278 Bacon 200.997703606161 261 76 8 0 27 4 0 0 134 0 31 124 9 7
3062 BeckmanLake 45.425 -93.183333 minnesota 278 Bacon 212.747737540532 276 80 2 0 10 9 0 5 51 0 13 60 5 4
3062 BeckmanLake 45.425 -93.183333 minnesota 278 Bacon 227.435279958495 295 85 2 0 20 3 0 1 135 1 38 139 3 6
3062 BeckmanLake 45.425 -93.183333 minnesota 278 Bacon 242.122822376459 314 90 7 0 25 0 0 0 77 0 15 60 0 10
3062 BeckmanLake 45.425 -93.183333 minnesota 278 Bacon 259.747873278015 337 96 8 0 21 3 0 2 84 0 22 95 5 1
3062 BeckmanLake 45.425 -93.183333 minnesota 278 Bacon 271.497907212386 352 100 4 0 21 5 2 1 67 0 32 55 5 2
3062 BeckmanLake 45.425 -93.183333 minnesota 278 Bacon 300.872992048312 391 110 2 0 16 3 1 1 104 0 22 66 0 0
3062 BeckmanLake 45.425 -93.183333 minnesota 278 Bacon 330.248076884239 429 120 1 0 23 6 0 1 96 0 14 47 0 1
272 BigJohnPond 47.558333 -94.966667 minnesota 421 Bacon 19.5101411322214 56 15 0 0 12 2 0 0 5 4.5 14 155 8 0
272 BigJohnPond 47.558333 -94.966667 minnesota 421 Bacon 36.5490141264978 139 20 1 0 11 3 0 1 8 0 13 192.5 7 2
272 BigJohnPond 47.558333 -94.966667 minnesota 421 Bacon 94.4219210321274 695 40 0 0 10 1 0 0 3 1 15 164.5 6 1
272 BigJohnPond 47.558333 -94.966667 minnesota 421 Bacon 360.12664982813 973 50 2 0 19 2 0 0 6 3.5 11 235 9.5 1
272 BigJohnPond 47.558333 -94.966667 minnesota 421 Bacon 1168.862150585 1394 65 0 0 15 0 0 1 11 0.5 15 143.5 12.5 4
272 BigJohnPond 47.558333 -94.966667 minnesota 421 Bacon 1791.29805367994 2131 90 6 0 26 1 0 0 23 1.5 25 151.5 7.5 1
272 BigJohnPond 47.558333 -94.966667 minnesota 421 Bacon 2163.79146306641 2573 105 7 0 24 1 0 0 37 2 21 72.5 6 2
272 BigJohnPond 47.558333 -94.966667 minnesota 421 Bacon 2412.21807751062 2868 115 6 0 36 4 0 0 40 0 31 100.5 3 1
272 BigJohnPond 47.558333 -94.966667 minnesota 421 Bacon 2657.48872291785 3163 125 2 0 24 1 0 0 23 1.5 23 53.5 2.5 0
272 BigJohnPond 47.558333 -94.966667 minnesota 421 Bacon 3180.92892248038 3752 145 3 0 10 4 0 0 10 0 11 41.5 4 1
272 BigJohnPond 47.558333 -94.966667 minnesota 421 Bacon 4640.59882122452 5374 200 2 0 7 1 0 0 28 0.5 13 41 2.5 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Bacon -10.8847174747494 -13 184 2 0 27 3 0 0 26 0 19 58 0 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Bacon 8.69489120264969 4 190 2 0 32 2 0 1 45 0 27 88 3 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Bacon 21.610620198615 15 194 2 0 46 0 0 0 37 0 18 105 0 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Bacon 40.3477584731252 31 200 4 0 34 3 0 0 27 0 27 94 1 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Bacon 52.987407081188 42 204 0 0 43 2 0 0 31 0 31 101 1 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Bacon 71.8322506121817 59 210 1 0 47 1 0 2 20 0 37 148 3 1
275 BillysLake 46.283333 -94.583333 minnesota 383 Bacon 84.5090746846222 70 214 0 0 22 2 0 1 15 0 33 113 0 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Bacon 103.604608632154 86 220 3 0 28 3 1 0 18 0 31 107 1 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Bacon 112.705294144361 97 224 2 0 95 7 0 0 80 0 60 208 2 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Bacon 185.44628894278 167 230 3 0 44 5 0 1 24 0 21 83 1 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Bacon 239.606647889516 221 234 2 0 64 2 0 1 32 0 25 89 0 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Bacon 320.077569802425 302 240 0 0 47 3 0 0 48 0 20 103 2 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Bacon 374.729577106354 356 244 4 0 41 1 0 2 39 0 21 92 2 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Bacon 402.110920023795 383 246 4 0 69 6 0 1 100 0 57 198 3 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Bacon 429.547602206713 410 248 4 0 73 5 0 2 100 0 62 176 4 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Bacon 456.984284389631 437 250 2 0 32 5 0 0 52 0 27 92 1 1
275 BillysLake 46.283333 -94.583333 minnesota 383 Bacon 512.491574113716 490 254 0 0 28 0 0 1 37 0 18 78 0 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Bacon 595.94738608046 571 260 1 0 25 6 0 0 41 0 16 87 1 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Bacon 649.608041052229 625 264 1 0 24 5 0 1 45 0 29 93 1 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Bacon 730.692560214827 706 270 6 0 22 3 0 0 42 0 16 60 1 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Bacon 786.462793395851 760 274 2 0 31 7 0 1 136 0 66 161 2 1
275 BillysLake 46.283333 -94.583333 minnesota 383 Bacon 870.907092064516 841 280 1 0 21 4 1 0 58 0 26 70 0 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Bacon 925.500068398452 894 284 4 0 32 3 0 1 43 0 34 60 2 1
275 BillysLake 46.283333 -94.583333 minnesota 383 Bacon 1007.65982078347 975 290 6 0 33 5 0 0 56 0 32 82 4 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Bacon 1062.47145084833 1029 294 3 0 21 4 0 1 63 0 29 67 1 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Bacon 1145.83254988655 1110 300 5 0 20 6 0 0 66 0 27 38 2 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Bacon 1250.47430769389 1201 310 3 0 29 4 0 3 53 0 34 46 1 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Bacon 1352.82963715252 1293 320 2 0 29 4 0 3 56 0 24 39 0 1
275 BillysLake 46.283333 -94.583333 minnesota 383 Bacon 1453.71694710882 1384 330 3 0 19 4 0 0 59 0 30 47 1 2
275 BillysLake 46.283333 -94.583333 minnesota 383 Bacon 1554.86401235263 1476 340 5 0 30 3 0 1 94 0 38 40 0 1
