"datasetID","handle","site","long","lat","state","pi","pre","settlement","notes","type","depth_top","depth_bottom","depth_mid","age","Abies","Thuja","Larix","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff","Tsuga","Acer.rubrum","Acer.saccharum","Acer.spicatum","Acer.undif.","Betula","Betulaceae.undif","Carya","Fraxinus3","Fraxinus4","FraxUnid","Juglans.cinerea","Juglans.nigra","Juglans.undiff","Liquidambar","Nyssa.sylvatica","Ostrya","Platanus","Populus","Quercus","Fagus","Tilia","Ulmus","Celtis","Corylus","alnus.3.pore","Alnus.4","Alnus.5","AlnusUndif","Cornus","Shepherdia","Ericaceae","Rhamnaceae","Rosaceae","Rubus","Salix","Morus","Myrica.Comptonia","Ilex","Dirca.type","Agoseris","Arceuthobium","Apiaceae.Umbell","Brassicaceae","Caryophylaceae","Epilobium","Euphorbia","Fabaceae","Galium","Humulus","Impatiens","Iva.ciliata","Iva.xanthifolia","Lamiaceae","Maianthemum","Phlox","Plantago","Polygonum.amphibium.type","Polygonum.lapth..Type","Polygonum.sect..Persicaria","Ranunculus","Rumex","Thalictrum","Urtica","Vitus","Xanthium","Ambrosia","Artemisia","Poaceae","Zea","Chenopodaceae","Sarcobatus","Tubuliflorae","Liguliflorae","Ephedra","Cyperaceae","Eriophorum","Drosera","Brasenia","Caltha","Lemna","Typha.lat.","Typha.ang","Typha.undif","Nuphar","Nymphaea","Myriophyllum","Isoetes","Sagittaria","Ophioglossum","Lyco.annotinum","Lyco.clavatum","Lyco.complanatum","L..inundatum","Lyco.lucidulum","Lyco.obscurum","Lyco.selago","Lyco.undiff","Equisetum","Hippuris","Selaginella.rupestris","Dennstaedtia","Osmunda.cinnemomea","Osmunda.regalis","Osmunda.undiff","Sphagnum","Mono.psil","Mono.ver","Pteridium","Other.Trilete","Trilete.scabrate","Polypodium","Botrychium","cf..Athyrium","cf..Adiantum","Woodsia","Innaperturate.psil","UNK","UNID"
"CLH1","ELEVENSES","Elevenses",-91.496,46.382,"wisconsin","R. Calcote",NA,NA,NA,"",59,60,59.5,640,NA,NA,NA,2,138,22,189,3,2,NA,NA,NA,70,NA,NA,NA,1,NA,NA,1,NA,NA,NA,7,NA,NA,18,NA,NA,3,NA,2,NA,27,10,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,5,4,NA,1,NA,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5,1
"CLH1","ELEVENSES","Elevenses",-91.496,46.382,"wisconsin","R. Calcote",NA,NA,NA,"",65,66,65.5,732,1,NA,NA,5,21,1,107,3,1,3,NA,NA,44,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2,NA,3,17,NA,NA,3,NA,1,NA,13,7,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,NA,3,NA,1,1,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"CLH1","ELEVENSES","Elevenses",-91.496,46.382,"wisconsin","R. Calcote",NA,NA,NA,"",71,72,71.5,819,NA,2,NA,7,107,60,173,3,1,1,NA,NA,70,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5,NA,2,22,NA,NA,5,NA,2,NA,29,11,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,9,3,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2
"CLH1","ELEVENSES","Elevenses",-91.496,46.382,"wisconsin","R. Calcote",NA,NA,NA,"",77,78,77.5,876,1,1,NA,1,25,8,93,NA,NA,NA,NA,NA,18,1,NA,2,NA,NA,NA,NA,NA,NA,NA,3,NA,1,16,NA,NA,2,NA,1,NA,12,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2,NA,1,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"CLH1","ELEVENSES","Elevenses",-91.496,46.382,"wisconsin","R. Calcote",NA,NA,NA,"",77,78,77.5,876,NA,NA,NA,2,76,20,168,1,NA,NA,NA,NA,60,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,12,NA,NA,4,NA,7,NA,23,16,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,9,4,13,NA,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,4
"CLH1","ELEVENSES","Elevenses",-91.496,46.382,"wisconsin","R. Calcote",NA,NA,NA,"",89,90,89.5,990,NA,1,NA,2,56,8,174,NA,2,NA,NA,1,66,NA,NA,3,1,NA,NA,NA,NA,NA,NA,7,NA,NA,20,NA,NA,5,NA,2,NA,30,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,5,NA,2,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,4,7
"CLH1","ELEVENSES","Elevenses",-91.496,46.382,"wisconsin","R. Calcote",NA,NA,NA,"",95,96,95.5,1050,1,NA,NA,4,49,15,110,NA,1,NA,NA,NA,53,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,4,NA,1,12,NA,NA,4,NA,1,NA,32,11,NA,NA,NA,NA,1,NA,NA,5,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,NA,2,NA,2,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CLH1","ELEVENSES","Elevenses",-91.496,46.382,"wisconsin","R. Calcote",NA,NA,NA,"",101,102,101.5,1129,1,NA,NA,1,20,6,89,1,NA,1,NA,NA,17,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,1,7,NA,NA,1,NA,NA,NA,15,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"CLH1","ELEVENSES","Elevenses",-91.496,46.382,"wisconsin","R. Calcote",NA,NA,NA,"",107,108,107.5,1208,NA,1,NA,2,78,37,131,3,NA,NA,NA,NA,39,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,2,20,NA,NA,4,NA,5,NA,28,24,NA,NA,NA,NA,2,NA,NA,1,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,4,NA,3,NA,4,NA,NA,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2
"CLH1","ELEVENSES","Elevenses",-91.496,46.382,"wisconsin","R. Calcote",NA,NA,NA,"",119,120,119.5,1367,NA,2,NA,5,58,12,193,1,1,1,NA,NA,77,NA,1,4,1,NA,1,NA,NA,NA,NA,7,NA,1,33,NA,1,6,NA,1,NA,29,23,NA,NA,NA,1,1,1,NA,1,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,11,6,NA,3,NA,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,12
