"x","y","region","water","Ash","Basswood","Beech","Birch","Cherry","Dogwood","Elm","Fir","Hemlock","Hickory","Ironwood","Maple","Oak","Pine","Spruce","Tamarack","Walnut","Other hardwood","Black gum/sweet gum","Cedar/juniper","Poplar/tulip poplar"
981000,678000,"michigan_south",0,0.0084184,0.0030092,0.0009316,0.0002652,0.0003668,0.0014652,0.0060764,1.04e-05,3.56e-05,0.0261676,0.0016408,0.0058208,0.8890192,0.0011644,0.0001576,0.0313196,0.0003228,0.0006048,2.12e-05,0.0001604,0.023022
989000,678000,"michigan_south",0,0.0130404,0.004458,0.0021528,0.000604,0.0004324,0.0011764,0.0120784,1.64e-05,5.84e-05,0.0109716,0.0032832,0.006696,0.8704332,0.0013524,0.00014,0.0416388,0.0007196,0.0007796,3e-05,0.0004292,0.0295092
997000,678000,"michigan_south",0,0.0283236,0.0118752,0.0035404,0.001058,0.000686,0.0009192,0.0157576,2.72e-05,0.0001364,0.0194816,0.0068672,0.0063904,0.8161984,0.0020216,0.0001676,0.0274068,0.001436,0.0008584,7.48e-05,0.0005444,0.0562292
1005000,678000,"michigan_south",0,0.0202044,0.0098388,0.003382,0.0009744,0.0005284,0.0003572,0.0205484,1.4e-05,9.88e-05,0.0119512,0.0051768,0.00552,0.8666904,0.0037408,0.0001236,0.0137568,0.0029024,0.0006964,7.24e-05,0.0004024,0.0330204
1013000,678000,"michigan_south",0,0.0617408,0.0189184,0.0179604,0.0027096,0.0015132,0.0005356,0.0282968,5.12e-05,0.0003236,0.037772,0.0119752,0.0144336,0.7275588,0.0024268,0.0002384,0.051442,0.0022292,0.0011608,0.0001428,0.0008176,0.0177532
1021000,678000,"michigan_south",0,0.1656556,0.0548624,0.1629392,0.0066556,0.0022968,0.0007644,0.06303,8.92e-05,0.0006656,0.018794,0.0244128,0.0435324,0.42851,0.0016852,0.0004308,0.0085276,0.002686,0.002148,0.000354,0.0014332,0.0105272
1029000,678000,"michigan_south",0,0.1878408,0.0764388,0.2485876,0.0075976,0.0024624,0.0015172,0.0733684,0.0001192,0.0008608,0.0295276,0.0267128,0.1089124,0.2035908,0.0013044,0.0005356,0.0042884,0.0024408,0.00275,0.0004676,0.0015224,0.0191544
1037000,678000,"michigan_south",24,0.2314504,0.05592,0.243806,0.0103528,0.0038004,0.0010724,0.1177204,0.0001832,0.001248,0.0332428,0.0264272,0.1028572,0.1326588,0.0016568,0.000614,0.0034716,0.0024436,0.0044576,0.000622,0.0024964,0.0234984
1053000,678000,"michigan_south",9,0.258214,0.0445148,0.1628996,0.0099132,0.0037576,0.000712,0.102108,0.0001592,0.0018804,0.0342928,0.012406,0.0407696,0.3055848,0.002068,0.0004752,0.0023772,0.0013768,0.0032772,0.000688,0.0015676,0.010958
413000,686000,"wisconsin",0,0.0012764,0.0038496,3.6e-06,0.000306,0.0016444,2.4e-06,0.0042016,4e-07,1.6e-06,0.0585408,0.0007772,0.0035024,0.9180344,0.0002116,2.8e-06,2.76e-05,0.0009404,0.0006984,1.2e-06,3.6e-06,0.0059736
421000,686000,"wisconsin",0,0.000892,0.0026856,2.8e-06,0.0001548,0.0012284,1.2e-06,0.0024872,8e-07,1.6e-06,0.0520448,0.0005696,0.0017616,0.9349028,7.8e-05,8e-07,2.32e-05,0.0007952,0.0004024,1.2e-06,2.8e-06,0.0019632
429000,686000,"wisconsin",0,0.0025076,0.006896,9.2e-06,0.0004844,0.0071944,4e-06,0.0065436,2.8e-06,4.8e-06,0.0189172,0.0013492,0.003036,0.9432372,0.000184,5.2e-06,3.36e-05,0.0032932,0.0011736,1.84e-05,1.08e-05,0.0050948
437000,686000,"wisconsin",0,0.0032992,0.0046704,1.2e-05,0.0003404,0.0078416,8e-07,0.0057256,4e-07,2.8e-06,0.0107532,0.00143,0.0022684,0.9552812,0.0002104,5.2e-06,5.8e-05,0.0015484,0.001056,2.8e-06,8.4e-06,0.0054848
445000,686000,"wisconsin",0,0.0026576,0.0038696,8.4e-06,0.0002048,0.0059072,1.2e-06,0.0052664,1.6e-06,1.2e-06,0.0090376,0.0010796,0.0016312,0.961712,0.0001184,3.2e-06,5e-05,0.0012324,0.000866,4e-07,8.8e-06,0.0063424
453000,686000,"wisconsin",0,0.007926,0.0103832,2e-05,0.0005208,0.0034964,1.6e-06,0.0124208,4e-07,1.4e-05,0.036748,0.0027444,0.0033972,0.906,0.0002512,1.2e-05,0.0001052,0.002582,0.0016924,3.2e-06,2.6e-05,0.0116552
461000,686000,"wisconsin",0,0.009378,0.026318,6.04e-05,0.0010556,0.005204,8.8e-06,0.0481276,6.8e-06,3.32e-05,0.0191776,0.0080816,0.0075804,0.8177868,0.0004076,2.96e-05,0.0002712,0.004188,0.0044216,9.2e-06,7.52e-05,0.0477788
469000,686000,"wisconsin",0,0.0318236,0.0748132,0.0001952,0.0022484,0.02055,2.64e-05,0.115124,3.16e-05,7.4e-05,0.0079116,0.0289756,0.0398952,0.5902584,0.0008356,8.24e-05,0.0007324,0.01364,0.0039716,4.52e-05,0.0001728,0.0685928
477000,686000,"wisconsin",0,0.0369072,0.1559728,0.000226,0.003294,0.0102196,3.36e-05,0.0928372,4.08e-05,0.0001444,0.0181532,0.0329784,0.1564032,0.3714136,0.0010676,0.0001416,0.000952,0.0253856,0.0039592,2.68e-05,0.0002028,0.0896404
485000,686000,"wisconsin",0,0.0295708,0.089134,0.0002484,0.0031132,0.0302112,3.36e-05,0.1130664,2.72e-05,8.44e-05,0.0168596,0.0326468,0.0827708,0.4873504,0.0020096,0.000124,0.0013264,0.0177244,0.0060364,3.04e-05,0.0002472,0.0873848
493000,686000,"wisconsin",0,0.0100672,0.012824,4.92e-05,0.0004756,0.0037848,2e-06,0.0212348,4.8e-06,6.4e-06,0.0103428,0.0042212,0.0072816,0.8728428,0.00059,1e-05,0.0003864,0.002972,0.0022536,6e-06,3.04e-05,0.0506144
501000,686000,"wisconsin",0,0.0017396,0.001674,1.6e-05,1e-04,0.0006748,8e-07,0.0033444,8e-07,2e-06,0.0033092,0.0006056,0.001424,0.9766412,0.0007016,2.4e-06,0.0001092,0.0007656,0.0008484,8e-07,2.4e-06,0.0080372
509000,686000,"wisconsin",0,0.00134,0.0012164,1.36e-05,7.44e-05,0.0006584,4e-07,0.0022396,1.6e-06,2.4e-06,0.0052992,0.0006212,0.0011,0.9632884,0.0001576,1.6e-06,0.0001332,0.0010968,0.00131,1.6e-06,1.2e-06,0.0214424
517000,686000,"wisconsin",0,0.0044068,0.0030696,4.4e-05,0.0002256,0.0013984,1.6e-06,0.005116,2.8e-06,8e-06,0.0282092,0.0020772,0.0032944,0.9168756,0.0002688,2.8e-06,0.0004032,0.0100284,0.0057808,4.4e-06,1.04e-05,0.018772
525000,686000,"wisconsin",0,0.0037204,0.0021312,3.16e-05,0.0001272,0.0006588,1.2e-06,0.0031308,4e-07,7.2e-06,0.0124328,0.0013508,0.0025292,0.9639972,0.0001072,2.8e-06,0.0003196,0.0021564,0.0028208,1.2e-06,8e-06,0.0044652
533000,686000,"wisconsin",0,0.0046148,0.0045208,2.24e-05,0.0001896,0.0007448,2.4e-06,0.0057936,5.2e-06,5.6e-06,0.012354,0.004308,0.0041516,0.9479376,0.000146,4.4e-06,0.0008392,0.0024852,0.0070688,6.4e-06,1.2e-05,0.0047876
541000,686000,"wisconsin",0,0.0012004,0.0007716,1.44e-05,4.76e-05,0.000166,8e-07,0.0012848,0,2.8e-06,0.0037856,8e-04,0.0013388,0.9838012,3.36e-05,1.6e-06,0.00052,0.0004616,0.0039896,2e-06,3.6e-06,0.001774
549000,686000,"wisconsin",0,0.0019496,0.001588,2.08e-05,0.0001156,0.0003116,1.2e-06,0.0025052,8e-07,2e-06,0.017282,0.0012892,0.0026756,0.947592,7.32e-05,4.4e-06,0.0011476,0.0007672,0.0191476,7.2e-06,4e-06,0.0035152
557000,686000,"wisconsin",0,0.0011292,0.000828,1.08e-05,4.64e-05,9.88e-05,1.6e-06,0.0011772,0,1.6e-06,0.011128,0.0006484,0.0017264,0.97342,3.24e-05,1.6e-06,0.0011464,0.0003504,0.0025416,2.4e-06,2.4e-06,0.0057064
565000,686000,"wisconsin",0,0.0015536,0.001526,2.08e-05,6.56e-05,0.0001456,4e-07,0.001628,4e-07,2.8e-06,0.0087468,0.0011644,0.0034792,0.9670376,2.4e-05,2.8e-06,0.00135,0.0005092,0.0023656,1.6e-06,8e-06,0.0103676
573000,686000,"wisconsin",0,0.009116,0.0088276,0.0002384,0.0003588,0.0005984,4e-06,0.0058932,2e-06,1.04e-05,0.0125504,0.0051072,0.0220512,0.9104856,2e-04,1.76e-05,0.0094128,0.003042,0.004778,1.16e-05,4.16e-05,0.0072532
581000,686000,"wisconsin",0,0.00089,0.0006116,3.44e-05,2.36e-05,4.52e-05,0,0.0005872,0,0,0.004154,0.000368,0.00123,0.987406,1.32e-05,1.2e-06,0.0022768,0.0001912,0.0008092,8e-07,5.6e-06,0.001352
589000,686000,"wisconsin",0,0.0011976,0.000686,5.72e-05,3.4e-05,6.28e-05,1.2e-06,0.0008308,4e-07,8e-07,0.0070076,0.000474,0.0011368,0.9774776,4.44e-05,1.2e-06,0.0083176,0.000224,0.0013172,1.2e-06,6.4e-06,0.0011212
597000,686000,"wisconsin",0,0.0009572,0.000432,4.56e-05,2.8e-05,7.36e-05,0,0.0005564,0,8e-07,0.011964,0.0003284,0.0007016,0.9823088,5.52e-05,8e-07,0.0011036,0.0002252,0.0007116,0,1.6e-06,0.0005056
605000,686000,"wisconsin",0,0.0021224,0.0011084,0.000164,7.92e-05,0.0001536,2.8e-06,0.0010544,4e-07,6.4e-06,0.0186832,0.00069,0.0015756,0.9696148,0.000106,5.2e-06,0.0010096,0.0004988,0.0020668,1.2e-06,9.2e-06,0.001048
613000,686000,"wisconsin",0,0.0020328,0.0009148,0.0002348,5.72e-05,0.0001452,0,0.0008788,8e-07,3.6e-06,0.0064184,0.0005468,0.0014616,0.9854556,3.92e-05,2.4e-06,0.0003712,0.0003824,0.0005584,2e-06,9.2e-06,0.0004848
621000,686000,"wisconsin",0,0.0701008,0.0258524,0.0064528,0.0024264,0.0028284,4.44e-05,0.023966,2.96e-05,0.0003108,0.0621108,0.0195952,0.05004,0.7051904,0.0009856,0.0001656,0.0029104,0.0124652,0.0057332,9.64e-05,0.000446,0.0082496
757000,686000,"michigan_south",46,0.051826,0.0328856,0.327486,0.013324,0.005326,0.0012116,0.0249304,0.000114,0.2012372,0.0031436,0.0103832,0.1275068,0.0680988,0.0529968,0.0005892,0.007954,0.0026668,0.022026,0.00639,0.0041464,0.0357576
765000,686000,"michigan_south",0,0.029626,0.025798,0.5025844,0.0067212,0.003152,0.0010988,0.0246496,5.24e-05,0.183464,0.002374,0.0074384,0.1474188,0.0142984,0.01864,0.00032,0.0073732,0.0014592,0.0158576,0.001616,0.0014072,0.0046508
773000,686000,"michigan_south",0,0.0552916,0.028162,0.4488856,0.0111308,0.0118868,0.0016412,0.0385504,0.0001248,0.0931968,0.0149112,0.01536,0.166376,0.0299636,0.0422324,0.0004404,0.0092988,0.0030056,0.0181952,0.0013748,0.0019832,0.0079888
781000,686000,"michigan_south",0,0.0696504,0.0162844,0.5254188,0.0058504,0.0091316,0.0011096,0.0290404,7.6e-05,0.0179052,0.0054768,0.0120712,0.1845476,0.0464292,0.0540672,0.0002992,0.0049776,0.0052404,0.0067048,0.0008872,0.0009896,0.0038424
789000,686000,"michigan_south",0,0.0488872,0.013742,0.528362,0.004848,0.0036356,0.0007744,0.047686,5.4e-05,0.0080296,0.003212,0.0155004,0.1125396,0.1118032,0.0749424,0.0001816,0.0053448,0.0036832,0.0063456,0.0008076,0.0005844,0.0090364
797000,686000,"michigan_south",0,0.0744592,0.0194704,0.5272644,0.00509,0.0044452,0.0007428,0.0651984,6.44e-05,0.0222224,0.0036832,0.0244592,0.1276376,0.0464896,0.0379036,0.0002736,0.01313,0.0036612,0.013516,0.0012456,0.0006372,0.008406
805000,686000,"michigan_south",0,0.0476792,0.0136532,0.3884548,0.0032552,0.0047616,0.0003144,0.0384728,4e-05,0.003024,0.0029952,0.0133312,0.2064144,0.153158,0.0170072,0.0001764,0.0537552,0.0024276,0.006502,0.0009664,0.0005184,0.0430928
813000,686000,"michigan_south",0,0.0326824,0.0105596,0.2399324,0.0019032,0.0065136,0.0001528,0.021468,2.6e-05,0.000868,0.002286,0.0084772,0.1036376,0.4850008,0.0541016,7.24e-05,0.0164252,0.001374,0.0042112,0.0008184,0.0001864,0.0093032
821000,686000,"michigan_south",0,0.0212144,0.0067784,0.0803164,0.00128,0.0036024,7.64e-05,0.0156536,1.72e-05,0.0002864,0.0026756,0.0094556,0.0364056,0.764978,0.0157188,5.16e-05,0.0217656,0.00093,0.0019776,0.0006068,0.0001384,0.0160712
829000,686000,"michigan_south",0,0.0520052,0.0171416,0.1894476,0.0043884,0.016582,0.0002084,0.0537456,5.96e-05,0.0005752,0.014012,0.0357136,0.0841036,0.386252,0.0032936,0.0001936,0.106794,0.0027,0.004496,0.0015064,0.000386,0.0263956
837000,686000,"michigan_south",0,0.0565408,0.01874,0.4998716,0.0039088,0.004122,0.0001096,0.037766,4.28e-05,0.0003732,0.0084172,0.0199084,0.1720716,0.1209848,0.0010968,0.0001284,0.043868,0.002136,0.0035236,0.0009244,0.000414,0.005052
