"x","y","region","water","Ash","Atlantic white cedar","Basswood","Beech","Birch","Cherry","Chestnut","Dogwood","Elm","Fir","Hemlock","Hickory","Ironwood","Maple","Oak","Pine","Spruce","Tamarack","Walnut","Other hardwood","Black gum/sweet gum","Cedar/juniper","Poplar/tulip poplar"
773000,582000,"michigan_south",0,0.0194552,NA,0.0026584,0.0225228,0.0003056,0.0005048,NA,9.4e-05,0.0066552,1.6e-06,4.72e-05,0.1393208,0.002156,0.0074848,0.7894124,3.48e-05,1.2e-05,0.0029508,0.0008056,0.001276,0.000332,1.2e-05,0.003958
781000,582000,"michigan_south",0,0.0411656,NA,0.0056268,0.070134,0.0007976,0.0010932,NA,0.000232,0.0149592,2.8e-06,8.52e-05,0.036006,0.0052824,0.031248,0.7742692,9.8e-05,1.8e-05,0.0048368,0.0023604,0.003254,0.0007676,5.08e-05,0.0077124
789000,582000,"michigan_south",0,0.013274,NA,0.002342,0.015658,0.0002848,0.0005408,NA,8.64e-05,0.0075636,1.6e-06,2.28e-05,0.0118104,0.0029536,0.0057044,0.9261576,5.04e-05,5.2e-06,0.002114,0.0012908,0.0039472,0.000308,1.96e-05,0.0058648
797000,582000,"michigan_south",0,0.006566,NA,0.0015372,0.0050292,0.0001636,0.0003948,NA,9.16e-05,0.004126,1.6e-06,1.64e-05,0.0529776,0.001842,0.0025904,0.9106456,2.4e-05,2.8e-06,0.0014204,0.0004996,0.0022172,0.0001524,8.8e-06,0.0096928
805000,582000,"michigan_south",0,0.0053044,NA,0.0011812,0.0032964,0.000154,0.0001904,NA,8.88e-05,0.0044092,0,6.8e-06,0.0715984,0.0012492,0.0018648,0.8990784,1.08e-05,4.4e-06,0.0021428,0.0002364,0.0022104,0.000146,5.6e-06,0.0068216
813000,582000,"michigan_south",0,0.0074492,NA,0.0016328,0.004058,0.0001776,0.0003664,NA,1e-04,0.0070032,8e-07,1.76e-05,0.0743312,0.0016128,0.0027844,0.8685072,1.28e-05,3.6e-06,0.0098848,0.0003544,0.0023552,0.0001524,7.2e-06,0.0191884
821000,582000,"michigan_south",0,0.0040528,NA,0.0006008,0.00241,6.4e-05,0.0001152,NA,8.72e-05,0.0028232,4e-07,6.4e-06,0.0763388,0.000612,0.0013648,0.9058864,8.4e-06,1.6e-06,0.001618,0.0001032,0.0011064,4.48e-05,2e-06,0.0027536
829000,582000,"michigan_south",0,0.0066488,NA,0.0008656,0.0044496,0.000142,0.0001696,NA,0.0001144,0.0038476,4e-07,1.68e-05,0.0438536,0.0007912,0.0018196,0.9302048,1.12e-05,4e-07,0.0015552,0.0001708,0.0012784,8.8e-05,3.2e-06,0.0039688
837000,582000,"michigan_south",0,0.033314,NA,0.0035936,0.0304932,0.0007292,0.0007036,NA,0.0006864,0.0139668,8e-07,0.0001064,0.0392048,0.002658,0.0057648,0.854346,4.96e-05,7.6e-06,0.0037336,0.0005604,0.0044436,0.000594,2.24e-05,0.0050212
845000,582000,"michigan_south",0,0.0531548,NA,0.0066496,0.095782,0.0007192,0.0014584,NA,0.0009268,0.0177936,7.6e-06,0.00013,0.1010692,0.006848,0.0097932,0.6870848,3.56e-05,1.76e-05,0.0070316,0.0007068,0.002952,0.0032444,4.8e-05,0.0045468
853000,582000,"michigan_south",0,0.0491288,NA,0.0040292,0.0570848,0.0004332,0.0015928,NA,0.0008372,0.0202644,3.2e-06,7.44e-05,0.03216,0.0046856,0.0097252,0.802192,3.88e-05,1.32e-05,0.0090596,0.0005744,0.0016832,0.002442,2.64e-05,0.0039516
861000,582000,"michigan_south",0,0.0295424,NA,0.0033332,0.0801184,0.0002476,0.0031776,NA,0.000596,0.0125192,3.2e-06,5.16e-05,0.0064056,0.004076,0.0144548,0.8058732,2.08e-05,1.12e-05,0.0349976,0.0005488,0.0011672,0.0003608,1.64e-05,0.0024784
869000,582000,"michigan_south",0,0.1177488,NA,0.0171352,0.1943908,0.0009612,0.006348,NA,0.0022516,0.0452264,2.16e-05,0.0001988,0.0272752,0.0166532,0.0660524,0.4489516,0.0001164,4.68e-05,0.044568,0.0024672,0.0028224,0.0005868,0.0001224,0.0060552
877000,582000,"michigan_south",0,0.10782,NA,0.01197,0.5467076,0.0009524,0.0051452,NA,0.0023444,0.0650928,1.2e-05,0.0001304,0.010966,0.0097232,0.1387744,0.0469936,9e-05,5.64e-05,0.0397464,0.003782,0.0020556,0.000476,0.0001764,0.0069852
885000,582000,"michigan_south",0,0.1037968,NA,0.0109968,0.3890204,0.000884,0.007834,NA,0.0061068,0.0634724,1.44e-05,0.0001812,0.0074888,0.0098364,0.0660012,0.2287176,0.0001512,8.16e-05,0.0895844,0.004534,0.0018372,0.0003104,0.0001656,0.0089848
893000,582000,"michigan_south",0,0.1147816,NA,0.016466,0.4740432,0.0010816,0.0211828,NA,0.0022332,0.0770296,2.24e-05,0.0002028,0.008824,0.0172988,0.0457276,0.1535264,0.0003956,0.0001024,0.040724,0.0120648,0.0029808,0.0003216,0.000222,0.0107688
901000,582000,"michigan_south",0,0.1290948,NA,0.0263452,0.396548,0.0016464,0.020832,NA,0.00165,0.0992168,4.2e-05,0.0003416,0.0127548,0.0610944,0.094066,0.084572,0.0003192,9.44e-05,0.034768,0.0055256,0.0074784,0.0004096,0.0004824,0.0227184
909000,582000,"michigan_south",0,0.1160364,NA,0.0266188,0.3976844,0.0014136,0.0048932,NA,0.0014524,0.1224844,3.2e-05,0.0002748,0.0331536,0.0393776,0.0978672,0.0874496,0.0004088,0.00017,0.0132132,0.004328,0.022924,0.0003664,0.0004176,0.029434
917000,582000,"michigan_south",0,0.1437744,NA,0.0204772,0.260198,0.0008492,0.0023176,NA,0.001044,0.0706456,3.24e-05,0.0002112,0.1072312,0.0283396,0.0727608,0.2222028,0.0002644,0.0001032,0.0166164,0.003394,0.010498,0.0002388,0.0002424,0.0385588
925000,582000,"michigan_south",0,0.2243108,NA,0.034336,0.0936,0.0011468,0.0020624,NA,0.0011552,0.0804876,3.56e-05,0.0002716,0.040772,0.0255492,0.06771,0.2507912,0.0002432,0.0001436,0.1151788,0.006174,0.010274,0.0002432,0.000358,0.0451568
933000,582000,"michigan_south",0,0.1800532,NA,0.0399276,0.0954848,0.0009892,0.001876,NA,0.0007584,0.1410328,3.88e-05,0.0002148,0.0499552,0.0178408,0.06753,0.3330712,0.0003436,0.0001668,0.0109036,0.0178856,0.0134832,0.0003928,0.0004348,0.0276168
941000,582000,"michigan_south",0,0.1958136,NA,0.070018,0.11695,0.0011976,0.0022276,NA,0.0010044,0.1507336,6.56e-05,0.0002872,0.0714248,0.032396,0.0764756,0.1854012,0.0002368,0.0001976,0.0039208,0.0090172,0.036464,0.0004396,0.000632,0.0450968
949000,582000,"michigan_south",0,0.2471356,NA,0.1262412,0.0771912,0.001052,0.0023496,NA,0.0009224,0.1245592,6.44e-05,0.0002512,0.0624584,0.016162,0.0661384,0.133412,0.0002924,0.0001924,0.0021212,0.0060856,0.0507532,0.0003768,0.0007656,0.0814752
957000,582000,"michigan_south",0,0.2356244,NA,0.060768,0.0310112,0.0012124,0.0030932,NA,0.0009228,0.169058,7.12e-05,0.00027,0.036708,0.020548,0.0981428,0.170616,0.0004536,0.000214,0.00187,0.0076696,0.1101072,0.0005612,0.0008896,0.0501888
